price,listing-location,bed,bath,carport,surface_area,building_area
598000000.0,4,2.0,1.0,1.0,90.0,40.0
645000000.0,1,3.0,1.0,1.0,93.0,60.0
1820000000.0,13,3.0,2.0,1.0,140.0,158.0
499000000.0,39,2.0,1.0,1.0,120.0,36.0
592000000.0,53,2.0,1.0,1.0,91.0,50.0
985000000.0,12,2.0,2.0,1.0,125.0,132.0
890000000.0,1,3.0,2.0,1.0,85.0,70.0
1250000000.0,12,2.0,1.0,1.0,130.0,70.0
790000000.0,1,3.0,2.0,1.0,75.0,70.0
250000000.0,20,2.0,1.0,1.0,76.0,36.0
600000000.0,60,3.0,1.0,1.0,167.0,130.0
3800000000.0,60,3.0,3.0,1.0,199.0,206.0
407000000.0,20,2.0,1.0,1.0,80.0,45.0
297000000.0,2,2.0,1.0,1.0,75.0,45.0
400000000.0,42,2.0,1.0,1.0,90.0,50.0
1450000000.0,29,3.0,3.0,1.0,110.0,129.0
1940000000.0,10,3.0,3.0,1.0,150.0,110.0
400000000.0,42,2.0,1.0,1.0,90.0,50.0
580000000.0,8,3.0,2.0,1.0,101.0,70.0
850000000.0,1,3.0,2.0,1.0,102.0,65.0
850000000.0,1,3.0,2.0,1.0,102.0,65.0
850000000.0,29,4.0,3.0,1.0,126.0,126.0
350000000.0,54,2.0,1.0,1.0,105.0,70.0
808000000.0,2,3.0,2.0,2.0,85.0,45.0
690000000.0,1,3.0,2.0,2.0,78.0,60.0
675000000.0,1,2.0,1.0,1.0,85.0,45.0
870000000.0,15,3.0,2.0,1.0,135.0,80.0
2600000000.0,32,4.0,3.0,2.0,150.0,190.0
300000000.0,42,2.0,1.0,1.0,74.0,42.0
1600000000.0,10,4.0,2.0,1.0,125.0,125.0
1600000000.0,2,4.0,3.0,1.0,193.0,193.0
299000000.0,13,2.0,1.0,1.0,74.0,74.0
385000000.0,36,3.0,2.0,1.0,63.0,80.0
900000000.0,15,3.0,2.0,1.0,133.0,80.0
1300000000.0,65,3.0,3.0,1.0,135.0,85.0
280000000.0,39,2.0,1.0,1.0,88.0,36.0
250000000.0,39,2.0,1.0,1.0,88.0,36.0
1750000000.0,36,3.0,2.0,1.0,131.0,160.0
900000000.0,39,2.0,2.0,1.0,108.0,60.0
595000000.0,1,3.0,1.0,1.0,93.0,60.0
852000000.0,12,4.0,2.0,1.0,142.0,200.0
700000000.0,36,3.0,2.0,1.0,106.0,70.0
1290000000.0,1,4.0,3.0,2.0,99.0,105.0
375000000.0,23,2.0,1.0,1.0,72.0,72.0
462000000.0,61,1.0,1.0,1.0,201.0,100.0
1560000000.0,60,1.0,1.0,1.0,209.0,100.0
550000000.0,40,3.0,2.0,1.0,82.0,100.0
2500000000.0,12,3.0,2.0,1.0,123.0,150.0
495000000.0,18,3.0,1.0,1.0,141.0,60.0
475000000.0,7,2.0,1.0,1.0,90.0,50.0
700000000.0,23,2.0,2.0,1.0,100.0,90.0
250000000.0,39,2.0,1.0,1.0,88.0,36.0
580000000.0,23,3.0,2.0,1.0,100.0,80.0
765000000.0,51,3.0,2.0,1.0,118.0,75.0
1880000000.0,28,3.0,2.0,2.0,150.0,110.0
500000000.0,58,3.0,1.0,1.0,97.0,55.0
